Name,Headshot
"Good, Matt",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HMZ_caAAAAAJ&citpid=2
"Gu, Lei",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=sJf1iI8AAAAJ&citpid=3
"Hall, Anthony Shoji",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=L98xBPAAAAAJ&citpid=10
"Hashimoto, Daniel A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=zXESohsAAAAJ&citpid=5
"Hassani, Hamed",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=M9V6y-0AAAAJ&citpid=3
"Head, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lccNQ3AAAAAJ&citpid=5
"Hemenway, Brett",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=ahCv50cAAAAJ&citpid=3
"Heo, Su Chin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YLKBGewAAAAJ&citpid=8
"Holladay, Rachel",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=0eV9GZEAAAAJ&citpid=3
"Hammer, Daniel A.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=-VUw0SoAAAAJ&citpid=1
"Hsieh, M. Ani",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Bh8bGCYAAAAJ&citpid=11
"Hughes, Alex J.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2I3Y6SgAAAAJ&citpid=3
"Jackson, Andrew",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2FXrcUEAAAAJ&citpid=1
"Huh, Dongeun (Dan)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=LVp3M8cAAAAJ&citpid=5
"Issadore, David",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FnPWUaIAAAAJ&citpid=8
"Ives, Zachary",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=2wJaIkEAAAAJ&citpid=2
"Jaggard, Dwight L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MtXxx3AAAAAJ&citpid=3
"Jayaraman, Dinesh",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QxLpghAAAAAJ&citpid=6
"Jerolmack, Douglas",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=nwGbdXUAAAAJ&citpid=2
"Jariwala, Deep",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=u1CHA2sAAAAJ&citpid=5
"Jiang, Ning Jenny",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=lveWKioAAAAJ&citpid=8
"Jiang, Yuanwen",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BJXpPqAAAAAJ&citpid=2
"Johnson, Michelle",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Bdlf-Z4AAAAJ&citpid=1
"Johnson, Kevin B.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=RFcbxjoAAAAJ&citpid=3
"Johnson, A.T. Charlie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=axPr2SQAAAAJ&citpid=2
"Kafai, Yasmin",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=kQEsTycAAAAJ&citpid=3
"Kagan, Cherie",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=r16t06oAAAAJ&citpid=1
"Kim, Bongho",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=xjG7WC8AAAAJ&citpid=2
"Kim, Dohyung",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8K3x8szoF1gC&citpid=3
"Kearns, Michael",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=8iQk0DIAAAAJ&citpid=6
"Kim, Gyuseok L.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=60dW-2oAAAAJ&citpid=1
"Khanna, Sanjeev",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=HriWXcEAAAAJ&citpid=2
"Kording, Konrad Paul",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=MiFqJGcAAAAJ&citpid=8
"Lee, Benjamin C.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=4Tnj6PcAAAAJ&citpid=3
"Li, Jing (Jane)",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=QGYL3tAAAAAJ&citpid=1
"Li, Ling",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=T_VhSCkAAAAJ&citpid=1
"Li, Gushu",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=Po0BT08AAAAJ&citpid=11
"Liberman, Mark Y.",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=R--JjPoAAAAJ&citpid=1
"Kumar, Vijay",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=FUOEBDUAAAAJ&citpid=2
"Lee, Insup",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=qPlUgrgAAAAJ&citpid=2
"Liu, X. Sherry",https://scholar.googleusercontent.com/citations?view_op=view_photo&user=CyokHdUAAAAJ&citpid=2
